Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura_TestSuite_Login_001,Chrome 120.0.0.0,,,24-01-2024 19:49:53,24-01-2024 19:50:04,10.982s,PASSED
,,,,,,,
Test Cases/TC_CURA_Login_001,Chrome 120.0.0.0,,,24-01-2024 19:49:53,24-01-2024 19:50:04,10.769s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,24-01-2024 19:49:53,24-01-2024 19:49:53,0.051s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 19:49:53,24-01-2024 19:49:55,1.728s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,24-01-2024 19:49:55,24-01-2024 19:49:58,3.240s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,24-01-2024 19:49:58,24-01-2024 19:49:59,0.845s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/input_username""), input_username)",Chrome 120.0.0.0,,,24-01-2024 19:49:59,24-01-2024 19:50:00,0.895s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/input_password""), input_password)",Chrome 120.0.0.0,,,24-01-2024 19:50:00,24-01-2024 19:50:01,0.833s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/button_Login""))",Chrome 120.0.0.0,,,24-01-2024 19:50:01,24-01-2024 19:50:02,1.601s,PASSED
delay(1),Chrome 120.0.0.0,,,24-01-2024 19:50:02,24-01-2024 19:50:03,1.083s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 19:50:03,24-01-2024 19:50:04,0.291s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,24-01-2024 19:50:04,24-01-2024 19:50:04,0.014s,PASSED
